number,operon,start,end,gene,strand,direction
95,GCF_000025465.1_ASM2546v1_genomic_operon_1,10072,9878,X-unknown,reverse,-1
96,GCF_000025465.1_ASM2546v1_genomic_operon_1,9873,9157,ssp6,reverse,-1
97,GCF_000025465.1_ASM2546v1_genomic_operon_1,8758,8660,X-unknown,reverse,-1
98,GCF_000025465.1_ASM2546v1_genomic_operon_1,8595,8149,X-unknown,reverse,-1
99,GCF_000025465.1_ASM2546v1_genomic_operon_1,7894,6443,X-unknown,reverse,-1
100,GCF_000025465.1_ASM2546v1_genomic_operon_1,6329,5799,X-unknown,reverse,-1
101,GCF_000025465.1_ASM2546v1_genomic_operon_1,5721,4297,X-unknown,reverse,-1
102,GCF_000025465.1_ASM2546v1_genomic_operon_1,4182,3814,X-unknown,reverse,-1
103,GCF_000025465.1_ASM2546v1_genomic_operon_1,3814,2888,X-unknown,reverse,-1
104,GCF_000025465.1_ASM2546v1_genomic_operon_1,2806,1421,X-unknown,reverse,-1
105,GCF_000025465.1_ASM2546v1_genomic_operon_1,1314,436,X-unknown,forward,1
106,GCF_000025465.1_ASM2546v1_genomic_operon_1,482,0,X-unknown,reverse,-1
107,GCF_000026185.1_ASM2618v1_genomic_operon_1,20067,17998,X-unknown,reverse,-1
108,GCF_000026185.1_ASM2618v1_genomic_operon_1,17985,16501,X-unknown,reverse,-1
109,GCF_000026185.1_ASM2618v1_genomic_operon_1,16504,15584,X-unknown,reverse,-1
110,GCF_000026185.1_ASM2618v1_genomic_operon_1,15361,14555,X-unknown,reverse,-1
111,GCF_000026185.1_ASM2618v1_genomic_operon_1,14531,13719,X-unknown,reverse,-1
112,GCF_000026185.1_ASM2618v1_genomic_operon_1,13641,12124,X-unknown,reverse,-1
113,GCF_000026185.1_ASM2618v1_genomic_operon_1,12108,11233,X-unknown,reverse,-1
114,GCF_000026185.1_ASM2618v1_genomic_operon_1,11041,10757,X-unknown,reverse,-1
115,GCF_000026185.1_ASM2618v1_genomic_operon_1,10755,10423,X-unknown,reverse,-1
116,GCF_000026185.1_ASM2618v1_genomic_operon_1,10316,10098,X-unknown,reverse,-1
117,GCF_000026185.1_ASM2618v1_genomic_operon_1,10111,9461,ssp6,reverse,-1
118,GCF_000026185.1_ASM2618v1_genomic_operon_1,9315,9085,X-unknown,reverse,-1
119,GCF_000026185.1_ASM2618v1_genomic_operon_1,8981,8658,X-unknown,reverse,-1
120,GCF_000026185.1_ASM2618v1_genomic_operon_1,8430,6925,X-unknown,forward,1
121,GCF_000026185.1_ASM2618v1_genomic_operon_1,6828,6397,X-unknown,reverse,-1
122,GCF_000026185.1_ASM2618v1_genomic_operon_1,6249,5422,X-unknown,reverse,-1
123,GCF_000026185.1_ASM2618v1_genomic_operon_1,5244,2797,X-unknown,reverse,-1
124,GCF_000026185.1_ASM2618v1_genomic_operon_1,2774,1341,X-unknown,reverse,-1
125,GCF_000026185.1_ASM2618v1_genomic_operon_1,1286,0,X-unknown,reverse,-1
126,GCF_000026185.1_ASM2618v1_genomic_operon_2,19140,16957,X-unknown,reverse,-1
127,GCF_000026185.1_ASM2618v1_genomic_operon_2,16546,15437,X-unknown,reverse,-1
128,GCF_000026185.1_ASM2618v1_genomic_operon_2,15249,13909,X-unknown,reverse,-1
129,GCF_000026185.1_ASM2618v1_genomic_operon_2,13912,13364,X-unknown,reverse,-1
130,GCF_000026185.1_ASM2618v1_genomic_operon_2,13091,12096,X-unknown,reverse,-1
131,GCF_000026185.1_ASM2618v1_genomic_operon_2,11940,11245,X-unknown,reverse,-1
132,GCF_000026185.1_ASM2618v1_genomic_operon_2,10879,10385,X-unknown,forward,1
133,GCF_000026185.1_ASM2618v1_genomic_operon_2,10323,9970,X-unknown,reverse,-1
134,GCF_000026185.1_ASM2618v1_genomic_operon_2,9849,9622,X-unknown,forward,1
135,GCF_000026185.1_ASM2618v1_genomic_operon_2,9617,8925,ssp6,forward,1
136,GCF_000026185.1_ASM2618v1_genomic_operon_2,8928,8746,X-unknown,forward,1
137,GCF_000026185.1_ASM2618v1_genomic_operon_2,8533,8396,X-unknown,reverse,-1
138,GCF_000026185.1_ASM2618v1_genomic_operon_2,8421,8191,X-unknown,reverse,-1
139,GCF_000026185.1_ASM2618v1_genomic_operon_2,8012,6252,X-unknown,reverse,-1
140,GCF_000026185.1_ASM2618v1_genomic_operon_2,6097,5810,X-unknown,forward,1
141,GCF_000026185.1_ASM2618v1_genomic_operon_2,5767,5027,X-unknown,reverse,-1
142,GCF_000026185.1_ASM2618v1_genomic_operon_2,5027,3957,X-unknown,reverse,-1
143,GCF_000026185.1_ASM2618v1_genomic_operon_2,3955,3110,X-unknown,reverse,-1
144,GCF_000026185.1_ASM2618v1_genomic_operon_2,3113,2226,X-unknown,reverse,-1
145,GCF_000026185.1_ASM2618v1_genomic_operon_2,2141,825,X-unknown,reverse,-1
146,GCF_000026185.1_ASM2618v1_genomic_operon_2,119,0,X-unknown,forward,1
147,GCF_000027205.1_ASM2720v1_genomic_operon_1,17812,16376,X-unknown,forward,1
148,GCF_000027205.1_ASM2720v1_genomic_operon_1,16152,14833,X-unknown,forward,1
149,GCF_000027205.1_ASM2720v1_genomic_operon_1,14815,13847,X-unknown,forward,1
150,GCF_000027205.1_ASM2720v1_genomic_operon_1,13493,13011,X-unknown,reverse,-1
151,GCF_000027205.1_ASM2720v1_genomic_operon_1,12834,12136,X-unknown,forward,1
152,GCF_000027205.1_ASM2720v1_genomic_operon_1,12038,11499,X-unknown,reverse,-1
153,GCF_000027205.1_ASM2720v1_genomic_operon_1,11365,10817,X-unknown,reverse,-1
154,GCF_000027205.1_ASM2720v1_genomic_operon_1,10520,10395,X-unknown,reverse,-1
155,GCF_000027205.1_ASM2720v1_genomic_operon_1,10388,10254,X-unknown,reverse,-1
156,GCF_000027205.1_ASM2720v1_genomic_operon_1,10124,9906,X-unknown,reverse,-1
157,GCF_000027205.1_ASM2720v1_genomic_operon_1,9916,9263,ssp6,reverse,-1
158,GCF_000027205.1_ASM2720v1_genomic_operon_1,9270,7558,X-unknown,reverse,-1
159,GCF_000027205.1_ASM2720v1_genomic_operon_1,7394,7014,X-unknown,reverse,-1
160,GCF_000027205.1_ASM2720v1_genomic_operon_1,6771,6406,X-unknown,reverse,-1
161,GCF_000027205.1_ASM2720v1_genomic_operon_1,6100,4520,X-unknown,reverse,-1
162,GCF_000027205.1_ASM2720v1_genomic_operon_1,4437,2971,X-unknown,reverse,-1
163,GCF_000027205.1_ASM2720v1_genomic_operon_1,2800,1427,X-unknown,forward,1
164,GCF_000027205.1_ASM2720v1_genomic_operon_1,1339,323,X-unknown,forward,1
165,GCF_000027205.1_ASM2720v1_genomic_operon_1,326,0,X-unknown,forward,1
166,GCF_000027265.1_ASM2726v1_genomic_operon_1,18057,17839,X-unknown,forward,1
167,GCF_000027265.1_ASM2726v1_genomic_operon_1,17731,16862,X-unknown,forward,1
168,GCF_000027265.1_ASM2726v1_genomic_operon_1,16825,16418,X-unknown,reverse,-1
169,GCF_000027265.1_ASM2726v1_genomic_operon_1,16052,15420,X-unknown,forward,1
170,GCF_000027265.1_ASM2726v1_genomic_operon_1,15359,13281,X-unknown,forward,1
171,GCF_000027265.1_ASM2726v1_genomic_operon_1,13235,12018,X-unknown,reverse,-1
172,GCF_000027265.1_ASM2726v1_genomic_operon_1,11931,11353,X-unknown,reverse,-1
173,GCF_000027265.1_ASM2726v1_genomic_operon_1,11295,10723,X-unknown,reverse,-1
174,GCF_000027265.1_ASM2726v1_genomic_operon_1,10447,9266,X-unknown,forward,1
175,GCF_000027265.1_ASM2726v1_genomic_operon_1,8900,8382,ssp6,forward,1
176,GCF_000027265.1_ASM2726v1_genomic_operon_1,8289,8068,X-unknown,forward,1
177,GCF_000027265.1_ASM2726v1_genomic_operon_1,7969,6692,X-unknown,reverse,-1
178,GCF_000027265.1_ASM2726v1_genomic_operon_1,6556,6113,X-unknown,forward,1
179,GCF_000027265.1_ASM2726v1_genomic_operon_1,6067,5063,X-unknown,reverse,-1
180,GCF_000027265.1_ASM2726v1_genomic_operon_1,5070,4369,X-unknown,reverse,-1
181,GCF_000027265.1_ASM2726v1_genomic_operon_1,4385,3699,X-unknown,reverse,-1
182,GCF_000027265.1_ASM2726v1_genomic_operon_1,3661,2840,X-unknown,reverse,-1
183,GCF_000027265.1_ASM2726v1_genomic_operon_1,2720,1755,X-unknown,reverse,-1
184,GCF_000027265.1_ASM2726v1_genomic_operon_1,1663,575,X-unknown,reverse,-1
185,GCF_000027265.1_ASM2726v1_genomic_operon_1,521,0,X-unknown,reverse,-1
186,GCF_000047365.1_ASM4736v1_genomic_operon_1,19346,18888,X-unknown,forward,1
187,GCF_000047365.1_ASM4736v1_genomic_operon_1,18757,18143,X-unknown,reverse,-1
188,GCF_000047365.1_ASM4736v1_genomic_operon_1,18149,17373,X-unknown,reverse,-1
189,GCF_000047365.1_ASM4736v1_genomic_operon_1,17391,16654,X-unknown,reverse,-1
190,GCF_000047365.1_ASM4736v1_genomic_operon_1,16648,16058,X-unknown,reverse,-1
191,GCF_000047365.1_ASM4736v1_genomic_operon_1,16058,14991,X-unknown,reverse,-1
192,GCF_000047365.1_ASM4736v1_genomic_operon_1,14994,13846,X-unknown,reverse,-1
193,GCF_000047365.1_ASM4736v1_genomic_operon_1,13843,12512,X-unknown,reverse,-1
194,GCF_000047365.1_ASM4736v1_genomic_operon_1,12508,11609,X-unknown,reverse,-1
195,GCF_000047365.1_ASM4736v1_genomic_operon_1,10903,10076,X-unknown,forward,1
196,GCF_000047365.1_ASM4736v1_genomic_operon_1,9769,9113,ssp6,reverse,-1
197,GCF_000047365.1_ASM4736v1_genomic_operon_1,8696,8160,X-unknown,reverse,-1
198,GCF_000047365.1_ASM4736v1_genomic_operon_1,8004,7009,X-unknown,reverse,-1
199,GCF_000047365.1_ASM4736v1_genomic_operon_1,7012,5456,X-unknown,reverse,-1
200,GCF_000047365.1_ASM4736v1_genomic_operon_1,5170,4079,X-unknown,forward,1
201,GCF_000047365.1_ASM4736v1_genomic_operon_1,3824,3609,X-unknown,forward,1
202,GCF_000047365.1_ASM4736v1_genomic_operon_1,3619,2228,X-unknown,forward,1
203,GCF_000047365.1_ASM4736v1_genomic_operon_1,1430,0,X-unknown,reverse,-1
204,GCF_000091565.1_ASM9156v1_genomic_operon_1,17812,16376,X-unknown,forward,1
205,GCF_000091565.1_ASM9156v1_genomic_operon_1,16152,14833,X-unknown,forward,1
206,GCF_000091565.1_ASM9156v1_genomic_operon_1,14815,13847,X-unknown,forward,1
207,GCF_000091565.1_ASM9156v1_genomic_operon_1,13493,13011,X-unknown,reverse,-1
208,GCF_000091565.1_ASM9156v1_genomic_operon_1,12834,12136,X-unknown,forward,1
209,GCF_000091565.1_ASM9156v1_genomic_operon_1,12038,11499,X-unknown,reverse,-1
210,GCF_000091565.1_ASM9156v1_genomic_operon_1,11365,10817,X-unknown,reverse,-1
211,GCF_000091565.1_ASM9156v1_genomic_operon_1,10520,10395,X-unknown,reverse,-1
212,GCF_000091565.1_ASM9156v1_genomic_operon_1,10388,10254,X-unknown,reverse,-1
213,GCF_000091565.1_ASM9156v1_genomic_operon_1,10124,9906,X-unknown,reverse,-1
214,GCF_000091565.1_ASM9156v1_genomic_operon_1,9916,9263,ssp6,reverse,-1
215,GCF_000091565.1_ASM9156v1_genomic_operon_1,9270,7558,X-unknown,reverse,-1
216,GCF_000091565.1_ASM9156v1_genomic_operon_1,7394,7014,X-unknown,reverse,-1
217,GCF_000091565.1_ASM9156v1_genomic_operon_1,6771,6406,X-unknown,reverse,-1
218,GCF_000091565.1_ASM9156v1_genomic_operon_1,6100,4520,X-unknown,reverse,-1
219,GCF_000091565.1_ASM9156v1_genomic_operon_1,4437,2971,X-unknown,reverse,-1
220,GCF_000091565.1_ASM9156v1_genomic_operon_1,2800,1427,X-unknown,forward,1
221,GCF_000091565.1_ASM9156v1_genomic_operon_1,1339,323,X-unknown,forward,1
222,GCF_000091565.1_ASM9156v1_genomic_operon_1,326,0,X-unknown,forward,1
223,GCF_000147055.1_ASM14705v1_genomic_operon_1,1673,2644,X-unknown,forward,1
224,GCF_000147055.1_ASM14705v1_genomic_operon_1,2644,4023,X-unknown,forward,1
225,GCF_000147055.1_ASM14705v1_genomic_operon_1,4010,4489,X-unknown,forward,1
226,GCF_000147055.1_ASM14705v1_genomic_operon_1,4486,5010,X-unknown,forward,1
227,GCF_000147055.1_ASM14705v1_genomic_operon_1,5007,6155,X-unknown,forward,1
228,GCF_000147055.1_ASM14705v1_genomic_operon_1,6152,6805,X-unknown,forward,1
229,GCF_000147055.1_ASM14705v1_genomic_operon_1,6813,7073,X-unknown,forward,1
230,GCF_000147055.1_ASM14705v1_genomic_operon_1,7081,7884,X-unknown,forward,1
231,GCF_000147055.1_ASM14705v1_genomic_operon_1,7924,9003,X-unknown,forward,1
232,GCF_000147055.1_ASM14705v1_genomic_operon_1,9312,9998,ssp6,forward,1
233,GCF_000147055.1_ASM14705v1_genomic_operon_1,9995,10186,X-unknown,forward,1
234,GCF_000147055.1_ASM14705v1_genomic_operon_1,10206,10685,TssD,reverse,-1
235,GCF_000147055.1_ASM14705v1_genomic_operon_1,11232,11726,X-unknown,forward,1
236,GCF_000147055.1_ASM14705v1_genomic_operon_1,11887,13116,X-unknown,forward,1
237,GCF_000147055.1_ASM14705v1_genomic_operon_1,13806,15779,X-unknown,forward,1
238,GCF_000147055.1_ASM14705v1_genomic_operon_1,16303,18258,X-unknown,forward,1
239,GCF_000147055.1_ASM14705v1_genomic_operon_1,18658,19488,X-unknown,forward,1
240,GCF_000148935.1_ASM14893v1_genomic_operon_1,18699,17971,X-unknown,forward,1
241,GCF_000148935.1_ASM14893v1_genomic_operon_1,17940,16171,X-unknown,forward,1
242,GCF_000148935.1_ASM14893v1_genomic_operon_1,16166,14904,X-unknown,forward,1
243,GCF_000148935.1_ASM14893v1_genomic_operon_1,14860,14192,X-unknown,reverse,-1
244,GCF_000148935.1_ASM14893v1_genomic_operon_1,14176,13541,X-unknown,reverse,-1
245,GCF_000148935.1_ASM14893v1_genomic_operon_1,13410,12901,X-unknown,reverse,-1
246,GCF_000148935.1_ASM14893v1_genomic_operon_1,12369,11968,X-unknown,forward,1
247,GCF_000148935.1_ASM14893v1_genomic_operon_1,11951,10968,X-unknown,forward,1
248,GCF_000148935.1_ASM14893v1_genomic_operon_1,10204,9995,X-unknown,reverse,-1
249,GCF_000148935.1_ASM14893v1_genomic_operon_1,10014,9373,ssp6,reverse,-1
250,GCF_000148935.1_ASM14893v1_genomic_operon_1,9261,9115,X-unknown,reverse,-1
251,GCF_000148935.1_ASM14893v1_genomic_operon_1,9012,8335,X-unknown,reverse,-1
252,GCF_000148935.1_ASM14893v1_genomic_operon_1,8338,7325,X-unknown,reverse,-1
253,GCF_000148935.1_ASM14893v1_genomic_operon_1,6947,6486,X-unknown,forward,1
254,GCF_000148935.1_ASM14893v1_genomic_operon_1,6444,6070,X-unknown,forward,1
255,GCF_000148935.1_ASM14893v1_genomic_operon_1,5934,4888,X-unknown,forward,1
256,GCF_000148935.1_ASM14893v1_genomic_operon_1,4384,1151,X-unknown,reverse,-1
257,GCF_000148935.1_ASM14893v1_genomic_operon_1,1136,0,X-unknown,reverse,-1
258,GCF_000187705.1_ASM18770v1_genomic_operon_1,330,422,X-unknown,reverse,-1
259,GCF_000187705.1_ASM18770v1_genomic_operon_1,1217,3928,X-unknown,reverse,-1
260,GCF_000187705.1_ASM18770v1_genomic_operon_1,4219,5304,X-unknown,forward,1
261,GCF_000187705.1_ASM18770v1_genomic_operon_1,5304,8369,X-unknown,forward,1
262,GCF_000187705.1_ASM18770v1_genomic_operon_1,8366,9331,X-unknown,forward,1
263,GCF_000187705.1_ASM18770v1_genomic_operon_1,9395,9649,X-unknown,reverse,-1
264,GCF_000187705.1_ASM18770v1_genomic_operon_1,9755,10009,X-unknown,reverse,-1
265,GCF_000187705.1_ASM18770v1_genomic_operon_1,9999,10655,ssp6,reverse,-1
266,GCF_000187705.1_ASM18770v1_genomic_operon_1,10786,11334,X-unknown,reverse,-1
267,GCF_000187705.1_ASM18770v1_genomic_operon_1,11433,12101,X-unknown,forward,1
268,GCF_000187705.1_ASM18770v1_genomic_operon_1,12098,12421,X-unknown,forward,1
269,GCF_000187705.1_ASM18770v1_genomic_operon_1,12472,13833,X-unknown,reverse,-1
270,GCF_000187705.1_ASM18770v1_genomic_operon_1,14441,15247,X-unknown,forward,1
271,GCF_000187705.1_ASM18770v1_genomic_operon_1,15234,15872,X-unknown,reverse,-1
272,GCF_000187705.1_ASM18770v1_genomic_operon_1,15869,17161,X-unknown,reverse,-1
273,GCF_000187705.1_ASM18770v1_genomic_operon_1,17317,17976,X-unknown,forward,1
274,GCF_000187705.1_ASM18770v1_genomic_operon_1,18131,18949,X-unknown,forward,1
275,GCF_000187705.1_ASM18770v1_genomic_operon_1,18949,19773,X-unknown,forward,1
276,GCF_000187705.1_ASM18770v1_genomic_operon_2,18197,17262,X-unknown,forward,1
277,GCF_000187705.1_ASM18770v1_genomic_operon_2,17356,16457,X-unknown,reverse,-1
278,GCF_000187705.1_ASM18770v1_genomic_operon_2,16243,15941,X-unknown,forward,1
279,GCF_000187705.1_ASM18770v1_genomic_operon_2,15687,15013,X-unknown,forward,1
280,GCF_000187705.1_ASM18770v1_genomic_operon_2,14961,14221,X-unknown,reverse,-1
281,GCF_000187705.1_ASM18770v1_genomic_operon_2,14218,13145,X-unknown,reverse,-1
282,GCF_000187705.1_ASM18770v1_genomic_operon_2,13138,12293,X-unknown,reverse,-1
283,GCF_000187705.1_ASM18770v1_genomic_operon_2,12296,11409,X-unknown,reverse,-1
284,GCF_000187705.1_ASM18770v1_genomic_operon_2,11227,9914,X-unknown,reverse,-1
285,GCF_000187705.1_ASM18770v1_genomic_operon_2,9711,9232,TssD,reverse,-1
286,GCF_000187705.1_ASM18770v1_genomic_operon_2,9216,8968,X-unknown,reverse,-1
287,GCF_000187705.1_ASM18770v1_genomic_operon_2,8981,8301,ssp6,reverse,-1
288,GCF_000187705.1_ASM18770v1_genomic_operon_2,8021,6834,X-unknown,reverse,-1
289,GCF_000187705.1_ASM18770v1_genomic_operon_2,6702,6001,X-unknown,reverse,-1
290,GCF_000187705.1_ASM18770v1_genomic_operon_2,5973,5203,X-unknown,reverse,-1
291,GCF_000187705.1_ASM18770v1_genomic_operon_2,5206,3917,X-unknown,reverse,-1
292,GCF_000187705.1_ASM18770v1_genomic_operon_2,3920,2994,X-unknown,reverse,-1
293,GCF_000187705.1_ASM18770v1_genomic_operon_2,2831,1719,X-unknown,reverse,-1
294,GCF_000187705.1_ASM18770v1_genomic_operon_2,1315,935,X-unknown,forward,1
295,GCF_000187705.1_ASM18770v1_genomic_operon_2,857,0,X-unknown,reverse,-1
296,GCF_000196615.1_ASM19661v1_genomic_operon_1,1102,2403,X-unknown,forward,1
297,GCF_000196615.1_ASM19661v1_genomic_operon_1,2766,4310,X-unknown,forward,1
298,GCF_000196615.1_ASM19661v1_genomic_operon_1,4505,5278,X-unknown,forward,1
