number,operon,start,end,gene,strand,direction
52,GCF_000019565.1_ASM1956v1_genomic_operon_1,10699,11415,ssp6,reverse,-1
53,GCF_000019565.1_ASM1956v1_genomic_operon_1,11813,11911,X-unknown,reverse,-1
54,GCF_000019565.1_ASM1956v1_genomic_operon_1,11976,12422,X-unknown,reverse,-1
55,GCF_000019565.1_ASM1956v1_genomic_operon_1,12677,14128,X-unknown,reverse,-1
56,GCF_000019565.1_ASM1956v1_genomic_operon_1,14242,14772,X-unknown,reverse,-1
57,GCF_000019565.1_ASM1956v1_genomic_operon_1,14850,16274,X-unknown,reverse,-1
58,GCF_000019565.1_ASM1956v1_genomic_operon_1,16389,16757,X-unknown,reverse,-1
59,GCF_000019565.1_ASM1956v1_genomic_operon_1,16757,17683,X-unknown,reverse,-1
60,GCF_000019565.1_ASM1956v1_genomic_operon_1,17765,19150,X-unknown,reverse,-1
61,GCF_000019565.1_ASM1956v1_genomic_operon_1,19257,20135,X-unknown,forward,1
62,GCF_000019565.1_ASM1956v1_genomic_operon_1,20089,20571,X-unknown,reverse,-1
63,GCF_000019565.1_ASM1956v1_genomic_operon_2,943,2622,X-unknown,forward,1
64,GCF_000019565.1_ASM1956v1_genomic_operon_2,2705,3343,X-unknown,reverse,-1
65,GCF_000019565.1_ASM1956v1_genomic_operon_2,3523,4392,X-unknown,forward,1
66,GCF_000019565.1_ASM1956v1_genomic_operon_2,5584,6099,ssp6,forward,1
67,GCF_000019565.1_ASM1956v1_genomic_operon_2,6259,6606,X-unknown,forward,1
68,GCF_000019565.1_ASM1956v1_genomic_operon_2,6609,7088,TssD,forward,1
69,GCF_000019565.1_ASM1956v1_genomic_operon_2,7280,7585,X-unknown,reverse,-1
70,GCF_000019565.1_ASM1956v1_genomic_operon_2,7622,8371,X-unknown,reverse,-1
71,GCF_000019565.1_ASM1956v1_genomic_operon_2,8467,8733,X-unknown,reverse,-1
72,GCF_000019565.1_ASM1956v1_genomic_operon_2,8844,8957,X-unknown,forward,1
73,GCF_000019565.1_ASM1956v1_genomic_operon_2,9140,9262,X-unknown,reverse,-1
74,GCF_000019565.1_ASM1956v1_genomic_operon_2,9387,10514,PAAR_motif,forward,1
75,GCF_000019565.1_ASM1956v1_genomic_operon_2,10504,10767,X-unknown,forward,1
76,GCF_000019565.1_ASM1956v1_genomic_operon_2,10913,11164,X-unknown,forward,1
77,GCF_000019565.1_ASM1956v1_genomic_operon_2,12468,12986,X-unknown,reverse,-1
78,GCF_000019565.1_ASM1956v1_genomic_operon_2,13437,13793,X-unknown,reverse,-1
79,GCF_000019565.1_ASM1956v1_genomic_operon_2,13819,14040,X-unknown,reverse,-1
80,GCF_000019565.1_ASM1956v1_genomic_operon_2,14037,14579,X-unknown,reverse,-1
81,GCF_000019565.1_ASM1956v1_genomic_operon_2,14592,15035,X-unknown,reverse,-1
82,GCF_000019565.1_ASM1956v1_genomic_operon_2,15066,15887,X-unknown,reverse,-1
83,GCF_000025465.1_ASM2546v1_genomic_operon_1,1270,1941,X-unknown,forward,1
84,GCF_000025465.1_ASM2546v1_genomic_operon_1,1952,3010,X-unknown,reverse,-1
85,GCF_000025465.1_ASM2546v1_genomic_operon_1,3100,3945,X-unknown,forward,1
86,GCF_000025465.1_ASM2546v1_genomic_operon_1,3942,4793,X-unknown,reverse,-1
87,GCF_000025465.1_ASM2546v1_genomic_operon_1,5306,5689,X-unknown,forward,1
88,GCF_000025465.1_ASM2546v1_genomic_operon_1,5770,6216,X-unknown,reverse,-1
89,GCF_000025465.1_ASM2546v1_genomic_operon_1,6446,7633,X-unknown,forward,1
90,GCF_000025465.1_ASM2546v1_genomic_operon_1,7850,8140,X-unknown,forward,1
91,GCF_000025465.1_ASM2546v1_genomic_operon_1,8343,9104,X-unknown,forward,1
92,GCF_000025465.1_ASM2546v1_genomic_operon_1,9261,9581,X-unknown,forward,1
93,GCF_000025465.1_ASM2546v1_genomic_operon_1,9572,9952,X-unknown,forward,1
94,GCF_000025465.1_ASM2546v1_genomic_operon_1,10001,10483,TssD,reverse,-1
95,GCF_000025465.1_ASM2546v1_genomic_operon_1,10502,10696,X-unknown,reverse,-1
96,GCF_000025465.1_ASM2546v1_genomic_operon_1,10701,11417,ssp6,reverse,-1
97,GCF_000025465.1_ASM2546v1_genomic_operon_1,11816,11914,X-unknown,reverse,-1
98,GCF_000025465.1_ASM2546v1_genomic_operon_1,11979,12425,X-unknown,reverse,-1
99,GCF_000025465.1_ASM2546v1_genomic_operon_1,12680,14131,X-unknown,reverse,-1
100,GCF_000025465.1_ASM2546v1_genomic_operon_1,14245,14775,X-unknown,reverse,-1
101,GCF_000025465.1_ASM2546v1_genomic_operon_1,14853,16277,X-unknown,reverse,-1
102,GCF_000025465.1_ASM2546v1_genomic_operon_1,16392,16760,X-unknown,reverse,-1
103,GCF_000025465.1_ASM2546v1_genomic_operon_1,16760,17686,X-unknown,reverse,-1
104,GCF_000025465.1_ASM2546v1_genomic_operon_1,17768,19153,X-unknown,reverse,-1
105,GCF_000025465.1_ASM2546v1_genomic_operon_1,19260,20138,X-unknown,forward,1
106,GCF_000025465.1_ASM2546v1_genomic_operon_1,20092,20574,X-unknown,reverse,-1
107,GCF_000026185.1_ASM2618v1_genomic_operon_1,43,2112,X-unknown,reverse,-1
108,GCF_000026185.1_ASM2618v1_genomic_operon_1,2125,3609,X-unknown,reverse,-1
109,GCF_000026185.1_ASM2618v1_genomic_operon_1,3606,4526,X-unknown,reverse,-1
110,GCF_000026185.1_ASM2618v1_genomic_operon_1,4749,5555,X-unknown,reverse,-1
111,GCF_000026185.1_ASM2618v1_genomic_operon_1,5579,6391,X-unknown,reverse,-1
112,GCF_000026185.1_ASM2618v1_genomic_operon_1,6469,7986,X-unknown,reverse,-1
113,GCF_000026185.1_ASM2618v1_genomic_operon_1,8002,8877,X-unknown,reverse,-1
114,GCF_000026185.1_ASM2618v1_genomic_operon_1,9069,9353,X-unknown,reverse,-1
115,GCF_000026185.1_ASM2618v1_genomic_operon_1,9355,9687,X-unknown,reverse,-1
116,GCF_000026185.1_ASM2618v1_genomic_operon_1,9794,10012,X-unknown,reverse,-1
117,GCF_000026185.1_ASM2618v1_genomic_operon_1,9999,10649,ssp6,reverse,-1
118,GCF_000026185.1_ASM2618v1_genomic_operon_1,10795,11025,X-unknown,reverse,-1
119,GCF_000026185.1_ASM2618v1_genomic_operon_1,11129,11452,X-unknown,reverse,-1
120,GCF_000026185.1_ASM2618v1_genomic_operon_1,11680,13185,X-unknown,forward,1
121,GCF_000026185.1_ASM2618v1_genomic_operon_1,13282,13713,X-unknown,reverse,-1
122,GCF_000026185.1_ASM2618v1_genomic_operon_1,13861,14688,X-unknown,reverse,-1
123,GCF_000026185.1_ASM2618v1_genomic_operon_1,14866,17313,X-unknown,reverse,-1
124,GCF_000026185.1_ASM2618v1_genomic_operon_1,17336,18769,X-unknown,reverse,-1
125,GCF_000026185.1_ASM2618v1_genomic_operon_1,18824,20110,X-unknown,reverse,-1
126,GCF_000026185.1_ASM2618v1_genomic_operon_2,478,2661,X-unknown,reverse,-1
127,GCF_000026185.1_ASM2618v1_genomic_operon_2,3072,4181,X-unknown,reverse,-1
128,GCF_000026185.1_ASM2618v1_genomic_operon_2,4369,5709,X-unknown,reverse,-1
129,GCF_000026185.1_ASM2618v1_genomic_operon_2,5706,6254,X-unknown,reverse,-1
130,GCF_000026185.1_ASM2618v1_genomic_operon_2,6527,7522,X-unknown,reverse,-1
131,GCF_000026185.1_ASM2618v1_genomic_operon_2,7678,8373,X-unknown,reverse,-1
132,GCF_000026185.1_ASM2618v1_genomic_operon_2,8739,9233,X-unknown,forward,1
133,GCF_000026185.1_ASM2618v1_genomic_operon_2,9295,9648,X-unknown,reverse,-1
134,GCF_000026185.1_ASM2618v1_genomic_operon_2,9769,9996,X-unknown,forward,1
135,GCF_000026185.1_ASM2618v1_genomic_operon_2,10001,10693,ssp6,forward,1
136,GCF_000026185.1_ASM2618v1_genomic_operon_2,10690,10872,X-unknown,forward,1
137,GCF_000026185.1_ASM2618v1_genomic_operon_2,11085,11222,X-unknown,reverse,-1
138,GCF_000026185.1_ASM2618v1_genomic_operon_2,11197,11427,X-unknown,reverse,-1
139,GCF_000026185.1_ASM2618v1_genomic_operon_2,11606,13366,X-unknown,reverse,-1
140,GCF_000026185.1_ASM2618v1_genomic_operon_2,13521,13808,X-unknown,forward,1
141,GCF_000026185.1_ASM2618v1_genomic_operon_2,13851,14591,X-unknown,reverse,-1
142,GCF_000026185.1_ASM2618v1_genomic_operon_2,14591,15661,X-unknown,reverse,-1
143,GCF_000026185.1_ASM2618v1_genomic_operon_2,15663,16508,X-unknown,reverse,-1
144,GCF_000026185.1_ASM2618v1_genomic_operon_2,16505,17392,X-unknown,reverse,-1
145,GCF_000026185.1_ASM2618v1_genomic_operon_2,17477,18793,X-unknown,reverse,-1
146,GCF_000026185.1_ASM2618v1_genomic_operon_2,19499,19618,X-unknown,forward,1
147,GCF_000027205.1_ASM2720v1_genomic_operon_1,2103,3539,X-unknown,forward,1
148,GCF_000027205.1_ASM2720v1_genomic_operon_1,3763,5082,X-unknown,forward,1
149,GCF_000027205.1_ASM2720v1_genomic_operon_1,5100,6068,X-unknown,forward,1
150,GCF_000027205.1_ASM2720v1_genomic_operon_1,6422,6904,X-unknown,reverse,-1
151,GCF_000027205.1_ASM2720v1_genomic_operon_1,7081,7779,X-unknown,forward,1
152,GCF_000027205.1_ASM2720v1_genomic_operon_1,7877,8416,X-unknown,reverse,-1
153,GCF_000027205.1_ASM2720v1_genomic_operon_1,8550,9098,X-unknown,reverse,-1
154,GCF_000027205.1_ASM2720v1_genomic_operon_1,9395,9520,X-unknown,reverse,-1
155,GCF_000027205.1_ASM2720v1_genomic_operon_1,9527,9661,X-unknown,reverse,-1
156,GCF_000027205.1_ASM2720v1_genomic_operon_1,9791,10009,X-unknown,reverse,-1
157,GCF_000027205.1_ASM2720v1_genomic_operon_1,9999,10652,ssp6,reverse,-1
158,GCF_000027205.1_ASM2720v1_genomic_operon_1,10645,12357,X-unknown,reverse,-1
159,GCF_000027205.1_ASM2720v1_genomic_operon_1,12521,12901,X-unknown,reverse,-1
160,GCF_000027205.1_ASM2720v1_genomic_operon_1,13144,13509,X-unknown,reverse,-1
161,GCF_000027205.1_ASM2720v1_genomic_operon_1,13815,15395,X-unknown,reverse,-1
162,GCF_000027205.1_ASM2720v1_genomic_operon_1,15478,16944,X-unknown,reverse,-1
163,GCF_000027205.1_ASM2720v1_genomic_operon_1,17115,18488,X-unknown,forward,1
164,GCF_000027205.1_ASM2720v1_genomic_operon_1,18576,19592,X-unknown,forward,1
165,GCF_000027205.1_ASM2720v1_genomic_operon_1,19589,19915,X-unknown,forward,1
166,GCF_000027265.1_ASM2726v1_genomic_operon_1,844,1062,X-unknown,forward,1
167,GCF_000027265.1_ASM2726v1_genomic_operon_1,1170,2039,X-unknown,forward,1
168,GCF_000027265.1_ASM2726v1_genomic_operon_1,2076,2483,X-unknown,reverse,-1
169,GCF_000027265.1_ASM2726v1_genomic_operon_1,2849,3481,X-unknown,forward,1
170,GCF_000027265.1_ASM2726v1_genomic_operon_1,3542,5620,X-unknown,forward,1
171,GCF_000027265.1_ASM2726v1_genomic_operon_1,5666,6883,X-unknown,reverse,-1
172,GCF_000027265.1_ASM2726v1_genomic_operon_1,6970,7548,X-unknown,reverse,-1
173,GCF_000027265.1_ASM2726v1_genomic_operon_1,7606,8178,X-unknown,reverse,-1
174,GCF_000027265.1_ASM2726v1_genomic_operon_1,8454,9635,X-unknown,forward,1
175,GCF_000027265.1_ASM2726v1_genomic_operon_1,10001,10519,ssp6,forward,1
176,GCF_000027265.1_ASM2726v1_genomic_operon_1,10612,10833,X-unknown,forward,1
177,GCF_000027265.1_ASM2726v1_genomic_operon_1,10932,12209,X-unknown,reverse,-1
178,GCF_000027265.1_ASM2726v1_genomic_operon_1,12345,12788,X-unknown,forward,1
179,GCF_000027265.1_ASM2726v1_genomic_operon_1,12834,13838,X-unknown,reverse,-1
180,GCF_000027265.1_ASM2726v1_genomic_operon_1,13831,14532,X-unknown,reverse,-1
181,GCF_000027265.1_ASM2726v1_genomic_operon_1,14516,15202,X-unknown,reverse,-1
182,GCF_000027265.1_ASM2726v1_genomic_operon_1,15240,16061,X-unknown,reverse,-1
183,GCF_000027265.1_ASM2726v1_genomic_operon_1,16181,17146,X-unknown,reverse,-1
184,GCF_000027265.1_ASM2726v1_genomic_operon_1,17238,18326,X-unknown,reverse,-1
185,GCF_000027265.1_ASM2726v1_genomic_operon_1,18380,18901,X-unknown,reverse,-1
186,GCF_000047365.1_ASM4736v1_genomic_operon_1,422,880,X-unknown,forward,1
187,GCF_000047365.1_ASM4736v1_genomic_operon_1,1011,1625,X-unknown,reverse,-1
188,GCF_000047365.1_ASM4736v1_genomic_operon_1,1619,2395,X-unknown,reverse,-1
189,GCF_000047365.1_ASM4736v1_genomic_operon_1,2377,3114,X-unknown,reverse,-1
190,GCF_000047365.1_ASM4736v1_genomic_operon_1,3120,3710,X-unknown,reverse,-1
191,GCF_000047365.1_ASM4736v1_genomic_operon_1,3710,4777,X-unknown,reverse,-1
192,GCF_000047365.1_ASM4736v1_genomic_operon_1,4774,5922,X-unknown,reverse,-1
193,GCF_000047365.1_ASM4736v1_genomic_operon_1,5925,7256,X-unknown,reverse,-1
194,GCF_000047365.1_ASM4736v1_genomic_operon_1,7260,8159,X-unknown,reverse,-1
195,GCF_000047365.1_ASM4736v1_genomic_operon_1,8865,9692,X-unknown,forward,1
196,GCF_000047365.1_ASM4736v1_genomic_operon_1,9999,10655,ssp6,reverse,-1
197,GCF_000047365.1_ASM4736v1_genomic_operon_1,11072,11608,X-unknown,reverse,-1
198,GCF_000047365.1_ASM4736v1_genomic_operon_1,11764,12759,X-unknown,reverse,-1
199,GCF_000047365.1_ASM4736v1_genomic_operon_1,12756,14312,X-unknown,reverse,-1
200,GCF_000047365.1_ASM4736v1_genomic_operon_1,14598,15689,X-unknown,forward,1
201,GCF_000047365.1_ASM4736v1_genomic_operon_1,15944,16159,X-unknown,forward,1
202,GCF_000047365.1_ASM4736v1_genomic_operon_1,16149,17540,X-unknown,forward,1
203,GCF_000047365.1_ASM4736v1_genomic_operon_1,18338,19768,X-unknown,reverse,-1
204,GCF_000091565.1_ASM9156v1_genomic_operon_1,2105,3541,X-unknown,forward,1
205,GCF_000091565.1_ASM9156v1_genomic_operon_1,3765,5084,X-unknown,forward,1
206,GCF_000091565.1_ASM9156v1_genomic_operon_1,5102,6070,X-unknown,forward,1
207,GCF_000091565.1_ASM9156v1_genomic_operon_1,6424,6906,X-unknown,reverse,-1
208,GCF_000091565.1_ASM9156v1_genomic_operon_1,7083,7781,X-unknown,forward,1
209,GCF_000091565.1_ASM9156v1_genomic_operon_1,7879,8418,X-unknown,reverse,-1
210,GCF_000091565.1_ASM9156v1_genomic_operon_1,8552,9100,X-unknown,reverse,-1
211,GCF_000091565.1_ASM9156v1_genomic_operon_1,9397,9522,X-unknown,reverse,-1
212,GCF_000091565.1_ASM9156v1_genomic_operon_1,9529,9663,X-unknown,reverse,-1
213,GCF_000091565.1_ASM9156v1_genomic_operon_1,9793,10011,X-unknown,reverse,-1
214,GCF_000091565.1_ASM9156v1_genomic_operon_1,10001,10654,ssp6,reverse,-1
215,GCF_000091565.1_ASM9156v1_genomic_operon_1,10647,12359,X-unknown,reverse,-1
216,GCF_000091565.1_ASM9156v1_genomic_operon_1,12523,12903,X-unknown,reverse,-1
217,GCF_000091565.1_ASM9156v1_genomic_operon_1,13146,13511,X-unknown,reverse,-1
218,GCF_000091565.1_ASM9156v1_genomic_operon_1,13817,15397,X-unknown,reverse,-1
219,GCF_000091565.1_ASM9156v1_genomic_operon_1,15480,16946,X-unknown,reverse,-1
220,GCF_000091565.1_ASM9156v1_genomic_operon_1,17117,18490,X-unknown,forward,1
221,GCF_000091565.1_ASM9156v1_genomic_operon_1,18578,19594,X-unknown,forward,1
222,GCF_000091565.1_ASM9156v1_genomic_operon_1,19591,19917,X-unknown,forward,1
223,GCF_000147055.1_ASM14705v1_genomic_operon_1,1673,2644,X-unknown,forward,1
224,GCF_000147055.1_ASM14705v1_genomic_operon_1,2644,4023,X-unknown,forward,1
225,GCF_000147055.1_ASM14705v1_genomic_operon_1,4010,4489,X-unknown,forward,1
226,GCF_000147055.1_ASM14705v1_genomic_operon_1,4486,5010,X-unknown,forward,1
227,GCF_000147055.1_ASM14705v1_genomic_operon_1,5007,6155,X-unknown,forward,1
228,GCF_000147055.1_ASM14705v1_genomic_operon_1,6152,6805,X-unknown,forward,1
229,GCF_000147055.1_ASM14705v1_genomic_operon_1,6813,7073,X-unknown,forward,1
230,GCF_000147055.1_ASM14705v1_genomic_operon_1,7081,7884,X-unknown,forward,1
231,GCF_000147055.1_ASM14705v1_genomic_operon_1,7924,9003,X-unknown,forward,1
232,GCF_000147055.1_ASM14705v1_genomic_operon_1,9312,9998,ssp6,forward,1
233,GCF_000147055.1_ASM14705v1_genomic_operon_1,9995,10186,X-unknown,forward,1
234,GCF_000147055.1_ASM14705v1_genomic_operon_1,10206,10685,TssD,reverse,-1
235,GCF_000147055.1_ASM14705v1_genomic_operon_1,11232,11726,X-unknown,forward,1
236,GCF_000147055.1_ASM14705v1_genomic_operon_1,11887,13116,X-unknown,forward,1
237,GCF_000147055.1_ASM14705v1_genomic_operon_1,13806,15779,X-unknown,forward,1
238,GCF_000147055.1_ASM14705v1_genomic_operon_1,16303,18258,X-unknown,forward,1
239,GCF_000147055.1_ASM14705v1_genomic_operon_1,18658,19488,X-unknown,forward,1
240,GCF_000148935.1_ASM14893v1_genomic_operon_1,1316,2044,X-unknown,forward,1
241,GCF_000148935.1_ASM14893v1_genomic_operon_1,2075,3844,X-unknown,forward,1
242,GCF_000148935.1_ASM14893v1_genomic_operon_1,3849,5111,X-unknown,forward,1
243,GCF_000148935.1_ASM14893v1_genomic_operon_1,5155,5823,X-unknown,reverse,-1
244,GCF_000148935.1_ASM14893v1_genomic_operon_1,5839,6474,X-unknown,reverse,-1
245,GCF_000148935.1_ASM14893v1_genomic_operon_1,6605,7114,X-unknown,reverse,-1
246,GCF_000148935.1_ASM14893v1_genomic_operon_1,7646,8047,X-unknown,forward,1
247,GCF_000148935.1_ASM14893v1_genomic_operon_1,8064,9047,X-unknown,forward,1
248,GCF_000148935.1_ASM14893v1_genomic_operon_1,9811,10020,X-unknown,reverse,-1
249,GCF_000148935.1_ASM14893v1_genomic_operon_1,10001,10642,ssp6,reverse,-1
250,GCF_000148935.1_ASM14893v1_genomic_operon_1,10754,10900,X-unknown,reverse,-1
251,GCF_000148935.1_ASM14893v1_genomic_operon_1,11003,11680,X-unknown,reverse,-1
252,GCF_000148935.1_ASM14893v1_genomic_operon_1,11677,12690,X-unknown,reverse,-1
253,GCF_000148935.1_ASM14893v1_genomic_operon_1,13068,13529,X-unknown,forward,1
254,GCF_000148935.1_ASM14893v1_genomic_operon_1,13571,13945,X-unknown,forward,1
255,GCF_000148935.1_ASM14893v1_genomic_operon_1,14081,15127,X-unknown,forward,1
256,GCF_000148935.1_ASM14893v1_genomic_operon_1,15631,18864,X-unknown,reverse,-1
257,GCF_000148935.1_ASM14893v1_genomic_operon_1,18879,20015,X-unknown,reverse,-1
258,GCF_000187705.1_ASM18770v1_genomic_operon_1,330,422,X-unknown,reverse,-1
259,GCF_000187705.1_ASM18770v1_genomic_operon_1,1217,3928,X-unknown,reverse,-1
260,GCF_000187705.1_ASM18770v1_genomic_operon_1,4219,5304,X-unknown,forward,1
261,GCF_000187705.1_ASM18770v1_genomic_operon_1,5304,8369,X-unknown,forward,1
262,GCF_000187705.1_ASM18770v1_genomic_operon_1,8366,9331,X-unknown,forward,1
263,GCF_000187705.1_ASM18770v1_genomic_operon_1,9395,9649,X-unknown,reverse,-1
264,GCF_000187705.1_ASM18770v1_genomic_operon_1,9755,10009,X-unknown,reverse,-1
265,GCF_000187705.1_ASM18770v1_genomic_operon_1,9999,10655,ssp6,reverse,-1
266,GCF_000187705.1_ASM18770v1_genomic_operon_1,10786,11334,X-unknown,reverse,-1
267,GCF_000187705.1_ASM18770v1_genomic_operon_1,11433,12101,X-unknown,forward,1
268,GCF_000187705.1_ASM18770v1_genomic_operon_1,12098,12421,X-unknown,forward,1
269,GCF_000187705.1_ASM18770v1_genomic_operon_1,12472,13833,X-unknown,reverse,-1
270,GCF_000187705.1_ASM18770v1_genomic_operon_1,14441,15247,X-unknown,forward,1
271,GCF_000187705.1_ASM18770v1_genomic_operon_1,15234,15872,X-unknown,reverse,-1
272,GCF_000187705.1_ASM18770v1_genomic_operon_1,15869,17161,X-unknown,reverse,-1
273,GCF_000187705.1_ASM18770v1_genomic_operon_1,17317,17976,X-unknown,forward,1
274,GCF_000187705.1_ASM18770v1_genomic_operon_1,18131,18949,X-unknown,forward,1
275,GCF_000187705.1_ASM18770v1_genomic_operon_1,18949,19773,X-unknown,forward,1
276,GCF_000187705.1_ASM18770v1_genomic_operon_2,1515,2450,X-unknown,forward,1
277,GCF_000187705.1_ASM18770v1_genomic_operon_2,2356,3255,X-unknown,reverse,-1
278,GCF_000187705.1_ASM18770v1_genomic_operon_2,3469,3771,X-unknown,forward,1
279,GCF_000187705.1_ASM18770v1_genomic_operon_2,4025,4699,X-unknown,forward,1
280,GCF_000187705.1_ASM18770v1_genomic_operon_2,4751,5491,X-unknown,reverse,-1
281,GCF_000187705.1_ASM18770v1_genomic_operon_2,5494,6567,X-unknown,reverse,-1
282,GCF_000187705.1_ASM18770v1_genomic_operon_2,6574,7419,X-unknown,reverse,-1
283,GCF_000187705.1_ASM18770v1_genomic_operon_2,7416,8303,X-unknown,reverse,-1
284,GCF_000187705.1_ASM18770v1_genomic_operon_2,8485,9798,X-unknown,reverse,-1
285,GCF_000187705.1_ASM18770v1_genomic_operon_2,10001,10480,TssD,reverse,-1
286,GCF_000187705.1_ASM18770v1_genomic_operon_2,10496,10744,X-unknown,reverse,-1
287,GCF_000187705.1_ASM18770v1_genomic_operon_2,10731,11411,ssp6,reverse,-1
288,GCF_000187705.1_ASM18770v1_genomic_operon_2,11691,12878,X-unknown,reverse,-1
289,GCF_000187705.1_ASM18770v1_genomic_operon_2,13010,13711,X-unknown,reverse,-1
290,GCF_000187705.1_ASM18770v1_genomic_operon_2,13739,14509,X-unknown,reverse,-1
291,GCF_000187705.1_ASM18770v1_genomic_operon_2,14506,15795,X-unknown,reverse,-1
292,GCF_000187705.1_ASM18770v1_genomic_operon_2,15792,16718,X-unknown,reverse,-1
293,GCF_000187705.1_ASM18770v1_genomic_operon_2,16881,17993,X-unknown,reverse,-1
294,GCF_000187705.1_ASM18770v1_genomic_operon_2,18397,18777,X-unknown,forward,1
295,GCF_000187705.1_ASM18770v1_genomic_operon_2,18855,19712,X-unknown,reverse,-1
296,GCF_000196615.1_ASM19661v1_genomic_operon_1,1102,2403,X-unknown,forward,1
297,GCF_000196615.1_ASM19661v1_genomic_operon_1,2766,4310,X-unknown,forward,1
