File,Strain name,Assembly,Locus,BioSample,BioProject,Source,Host,Strain,Location,Collection Date,Submission Date,Species,Short species,Assembly Method,Genome Representation, Genome Coverage,Sequencing Technology,Assembly Length,Number of contigs,Largest contig,Published,Journal,Authors,Title
GCF_000947915.1_ASM94791v1_genomic.gbff,ASM94791v1,GCF_000947915.1,NZ_CP009677,SAMN03083652,PRJNA224116,patients with intra-amniotic infection and premature labor,Homo sapiens,AF1,None,None,20-Oct-14,Mycoplasma hominis,Mycoplasma hominis,Method :: Newbler v. 2.8,Representation :: Full,Coverage :: 400.0x,Technology :: 454,700851,1,700851,Yes,Am. J. Obstet. Gynecol. 212 (6); 779 (2015),Allen-Daniels;M.J.; Serrano;M.G.; Pflugner;L.P.; Fettweis;J.M.; Prestosa;M.A.; Koparde;V.N.; Brooks;J.P.; Strauss;J.F. III; Romero;R.; Chaiworapongsa;T.; Eschenbach;D.A.; Buck;G.A. and Jefferson;K.K.,Identification of a gene in Mycoplasma hominis associated with preterm birth and microbial burden in intraamniotic infection
GCF_000250905.1_ASM25090v1_genomic.gbff,ASM25090v1,GCF_000250905.1,NC_017040,SAMN02603944,PRJNA224116,soft tissue infection,Homo sapiens,MGAS15252,Canada,2008,21-Apr-11,Streptococcus pyogenes MGAS15252,Streptococcus pyogenes,None,None,None,None,1750832,1,1750832,Yes,Am. J. Pathol. 180 (4); 1522-1534 (2012),Fittipaldi;N.; Beres;S.B.; Olsen;R.J.; Kapur;V.; Shea;P.R.; Watkins;M.E.; Cantu;C.C.; Laucirica;D.R.; Jenkins;L.; Flores;A.R.; Lovgren;M.; Ardanuy;C.; Linares;J.; Low;D.E.; Tyrrell;G.J. and Musser;J.M.,Full-genome dissection of an epidemic of severe invasive disease caused by a hypervirulent; recently emerged clone of group A Streptococcus
GCF_000568455.1_ASM56845v1_genomic.gbff,ASM56845v1,GCF_000568455.1,NZ_CP007176,SAMN03081531,PRJNA224116,None,None,USA300-ISMMS1,None,None,03-Feb-14,Staphylococcus aureus USA300-ISMMS1,Staphylococcus aureus,Method :: HGAP v. 1.4,None,Coverage :: 506x,Technology :: PacBio,2951201,3,2921008,Yes,Am. J. Transplant. 14 (11); 2640-2644 (2014),Altman;D.R.; Sebra;R.; Hand;J.; Attie;O.; Deikus;G.; Carpini;K.W.; Patel;G.; Rana;M.; Arvelakis;A.; Grewal;P.; Dutta;J.; Rose;H.; Shopsin;B.; Daefler;S.; Schadt;E.; Kasarskis;A.; van Bakel;H.; Bashir;A. and Huprikar;S.,Transmission of methicillin-resistant Staphylococcus aureus via deceased donor liver transplantation confirmed by whole genome sequencing
GCF_000022825.1_ASM2282v1_genomic.gbff,ASM2282v1,GCF_000022825.1,NC_017160,SAMN02603872,PRJNA224116,None,None,D182038,None,None,15-Jan-09,Yersinia pestis D182038,Yersinia pestis,None,None,None,None,4802263,4,4626944,Yes,Am. J. Trop. Med. Hyg. 81 (4); 714-717 (2009),Zhang;Z.; Hai;R.; Song;Z.; Xia;L.; Liang;Y.; Cai;H.; Liang;Y.; Shen;X.; Zhang;E.; Xu;J.; Yu;D. and Yu;X.J.,Spatial variation of Yersinia pestis from Yunnan Province of China
GCF_000022805.1_ASM2280v1_genomic.gbff,ASM2280v1,GCF_000022805.1,NC_017154,SAMN02603871,PRJNA224116,None,None,D106004,None,None,15-Jan-09,Yersinia pestis D106004,Yersinia pestis,None,None,None,None,4812922,4,4640720,Yes,Am. J. Trop. Med. Hyg. 81 (4); 714-717 (2009),Zhang;Z.; Hai;R.; Song;Z.; Xia;L.; Liang;Y.; Cai;H.; Liang;Y.; Shen;X.; Zhang;E.; Xu;J.; Yu;D. and Yu;X.J.,Spatial variation of Yersinia pestis from Yunnan Province of China
GCF_002028325.1_ASM202832v1_genomic.gbff,ASM202832v1,GCF_002028325.1,NZ_CP018420,SAMN06076152,PRJNA224116,rhizosphere soil,Solanum tuberosum,R02,Switzerland: Zurich,Oct-12,07-Dec-16,Pseudomonas veronii,Pseudomonas veronii,Method :: HGAP v. 3,None,Coverage :: 60.0x,Technology :: PacBio,6852809,1,6852809,Yes,Angew. Chem. Int. Ed. Engl. (2017) In press,Montes Vidal;D.; von Rymon-Lipinski;A.L.; Ravella;S.; Groenhagen;U.; Herrmann;J.; Zaburannyi;N.; Zarbin;P.H.; Varadarajan;A.R.; Ahrens;C.H.; Weisskopf;L.; Muller;R. and Schulz;S.,Long-Chain Alkyl Cyanides: Unprecedented Volatile Compounds Released by Pseudomonas and Micromonospora Bacteria
GCF_001543995.1_ASM154399v1_genomic.gbff,ASM154399v1,GCF_001543995.1,NZ_CP014215,SAMN04448797,PRJNA224116,sputum,Homo sapiens,YU-R612,None,May-14,19-Jan-16,Acinetobacter baumannii,Acinetobacter baumannii,Method :: RS_HGAP_Assembly v. 3,None,Coverage :: 227X,Technology :: PacBio,4155251,3,4075545,Yes,Ann Lab Med 36 (4); 320-324 (2016),Lee;Y.; D'Souza;R.; Yong;D. and Lee;K.,Prediction of Putative Resistance Islands in a Carbapenem-Resistant Acinetobacter baumannii Global Clone 2 Clinical Isolate
GCF_003722195.1_ASM372219v1_genomic.gbff,ASM372219v1,GCF_003722195.1,NZ_CP033605,SAMN10364854,PRJNA224116,Cattle carcass,None,TR01,Turkey: KIRIKKALE,23-Jun-12,02-Nov-18,Escherichia coli O157:H7,Escherichia coli,Method :: Genious v. PRIME,Representation :: Full,Coverage :: 30.0x,Technology :: Illumina HiSeq,5569804,1,5569804,Yes,Ann. Microbiol. 60 (3); 489-494 (2010),Goncuoglu;M.; Aydin;N.D. and Erol;I.,Antibiotic resistance of Escherichia coli O157:H7 isolated from cattle and sheep
GCF_002215345.1_ASM221534v1_genomic.gbff,ASM221534v1,GCF_002215345.1,NZ_CP017293,SAMN05773092,PRJNA224116,None,Homo sapiens,PA83,Germany,Dec-13,16-Sep-16,Pseudomonas aeruginosa,Pseudomonas aeruginosa,Method :: HGAP SMRTPortal v. 2.3.0,None,Coverage :: 134x,Technology :: PacBio; Illumina HISEQ,7214314,2,6816227,Yes,Antimicrob. Agents Chemother. (2017) In press,Regenbogen;B.; Willmann;M.; Steglich;M.; Bunk;B.; Nubel;U.; Peter;S. and Neher;R.A.,Rapid and consistent evolution of colistin resistance in XDR Pseudomonas aeruginosa during morbidostat culture
GCF_003076795.1_ASM307679v1_genomic.gbff,ASM307679v1,GCF_003076795.1,NZ_CP029072,SAMN08931148,PRJNA224116,sputum,Homo sapiens,G220,China: Hubei,2017,25-Apr-18,Mycobacterium abscessus,Mycobacterium abscessus,Method :: SPAdes v. 3.11.1,Representation :: Full,Coverage :: 100X,Technology :: Illumina HiSeq,4800506,1,4800506,Yes,Antimicrob. Agents Chemother. (2018) In press,Li;B.; Ye;M.; Guo;Q.; Zhang;Z.; Liu;S.; Ma;W.; Yu;F. and Chu;H.,Determination of MIC Distribution and Mechanisms of Decreased Susceptibility to Bedaquiline Among Clinical Isolates of Mycobacterium abscessus
GCF_003076855.1_ASM307685v1_genomic.gbff,ASM307685v1,GCF_003076855.1,NZ_CP029075,SAMN08931136,PRJNA224116,sputum,Homo sapiens,G141,China: Shanghai,2017,25-Apr-18,Mycobacterium abscessus,Mycobacterium abscessus,Method :: SPAdes v. 3.11.1,Representation :: Full,Coverage :: 100X,Technology :: Illumina HiSeq,4876254,1,4876254,Yes,Antimicrob. Agents Chemother. (2018) In press,Li;B.; Ye;M.; Guo;Q.; Zhang;Z.; Liu;S.; Ma;W.; Yu;F. and Chu;H.,Determination of MIC Distribution and Mechanisms of Decreased Susceptibility to Bedaquiline Among Clinical Isolates of Mycobacterium abscessus
GCF_003076875.1_ASM307687v1_genomic.gbff,ASM307687v1,GCF_003076875.1,NZ_CP029074,SAMN08931137,PRJNA224116,sputum,Homo sapiens,G153,China: Shanghai,2017,25-Apr-18,Mycobacterium abscessus,Mycobacterium abscessus,Method :: SPAdes v. 3.11.1,Representation :: Full,Coverage :: 100X,Technology :: Illumina HiSeq,4886609,1,4886609,Yes,Antimicrob. Agents Chemother. (2018) In press,Li;B.; Ye;M.; Guo;Q.; Zhang;Z.; Liu;S.; Ma;W.; Yu;F. and Chu;H.,Determination of MIC Distribution and Mechanisms of Decreased Susceptibility to Bedaquiline Among Clinical Isolates of Mycobacterium abscessus
GCF_000010445.1_ASM1044v1_genomic.gbff,ASM1044v1,GCF_000010445.1,NC_009782,SAMD00060910,PRJNA224116,None,None,Mu3,None,None,05-Jan-07,Staphylococcus aureus subsp. aureus Mu3,Staphylococcus aureus,None,None,None,None,2880168,1,2880168,Yes,Antimicrob. Agents Chemother. 52 (1); 45-53 (2008),Neoh;H.M.; Cui;L.; Yuzawa;H.; Takeuchi;F.; Matsuo;M. and Hiramatsu;K.,Mutated response regulator graR is responsible for phenotypic conversion of Staphylococcus aureus from heterogeneous vancomycin-intermediate resistance to vancomycin-intermediate resistance
GCF_000018445.1_ASM1844v1_genomic.gbff,ASM1844v1,GCF_000018445.1,NC_010611,SAMN02603140,PRJNA224116,None,None,ACICU,None,None,18-Sep-07,Acinetobacter baumannii ACICU,Acinetobacter baumannii,None,None,None,None,3996761,3,3904116,Yes,Antimicrob. Agents Chemother. 52 (7); 2616-2625 (2008),Iacono;M.; Villa;L.; Fortini;D.; Bordoni;R.; Imperi;F.; Bonnal;R.J.; Sicheritz-Ponten;T.; De Bellis;G.; Visca;P.; Cassone;A. and Carattoli;A.,Whole-genome pyrosequencing of an epidemic multidrug-resistant Acinetobacter baumannii strain belonging to the European clone II group
GCF_000226275.2_ASM22627v2_genomic.gbff,ASM22627v2,GCF_000226275.2,NC_017171,SAMN02603878,PRJNA224116,None,None,MDR-ZJ06,China: Zheijiang,2006,15-Oct-18,Acinetobacter baumannii MDR-ZJ06,Acinetobacter baumannii,None,None,None,None,4022275,1,4022275,Yes,Antimicrob. Agents Chemother. 55 (10); 4506-4512 (2011),Zhou;H.; Zhang;T.; Yu;D.; Pi;B.; Yang;Q.; Zhou;J.; Hu;S. and Yu;Y.,Genomic analysis of the multidrug-resistant Acinetobacter baumannii strain MDR-ZJ06 widely spread in China
GCF_000465235.1_ASM46523v1_genomic.gbff,ASM46523v1,GCF_000465235.1,NC_022347,SAMN02603234,PRJNA224116,None,None,CVM N29710,None,None,24-Jan-13,Campylobacter coli CVM N29710,Campylobacter coli,Method :: Newbler v. 2.6,None,Coverage :: 108x,Technology :: 454; Sanger,1732055,3,1673221,Yes,Antimicrob. Agents Chemother. 57 (11); 5398-5405 (2013),Chen;Y.; Mukherjee;S.; Hoffmann;M.; Kotewicz;M.L.; Young;S.; Abbott;J.; Luo;Y.; Davidson;M.K.; Allard;M.; McDermott;P. and Zhao;S.,Whole-genome sequencing of gentamicin-resistant Campylobacter coli isolated from U.S. retail meats reveals novel plasmid-mediated aminoglycoside resistance genes
GCF_000733255.1_ASM73325v1_genomic.gbff,ASM73325v1,GCF_000733255.1,NZ_CP006798,SAMN03081487,PRJNA224116,urine,None,PittNDM01,USA,None,30-Sep-13,Klebsiella pneumoniae subsp. pneumoniae PittNDM01,Klebsiella pneumoniae,Method :: SMRT Pipe v. v2.0.1,None,Coverage :: 333,Technology :: PacBio,5812304,5,5348284,Yes,Antimicrob. Agents Chemother. 58 (10); 5947-5953 (2014),Doi;Y.; Hazen;T.H.; Boitano;M.; Tsai;Y.C.; Clark;T.A.; Korlach;J. and Rasko;D.A.,Whole-genome assembly of Klebsiella pneumoniae coproducing NDM-1 and OXA-232 carbapenemases using single-molecule; real-time sequencing
GCF_001593425.2_ASM159342v2_genomic.gbff,ASM159342v2,GCF_001593425.2,NZ_CP018664,SAMN04273153,PRJNA224116,blood,Homo sapiens,ATCC 17978,None,None,09-Dec-16,Acinetobacter baumannii,Acinetobacter baumannii,Method :: Geneious v. 9.1.5,Representation :: Full,Coverage :: 300.0x,Technology :: Illumina MiSeq,4004792,1,4004792,Yes,Antimicrob. Agents Chemother. 58 (11); 6424-6431 (2014),Fernando;D.M.; Xu;W.; Loewen;P.C.; Zhanel;G.G. and Kumar;A.,Triclosan can select for an AdeIJK-overexpressing mutant of Acinetobacter baumannii ATCC 17978 that displays reduced susceptibility to multiple antibiotics
GCF_000764615.1_ASM76461v1_genomic.gbff,ASM76461v1,GCF_000764615.1,NZ_CP008929,SAMN02885365,PRJNA224116,Blood,Homo sapiens,PMK1,Nepal,16-Aug-11,30-Jun-14,Klebsiella pneumoniae,Klebsiella pneumoniae,Method :: Hgap v. 3,None,Coverage :: 60x,Technology :: Illumina; Pacific Biosciences,5990738,5,5317001,Yes,Antimicrob. Agents Chemother. 58 (12); 7347-7357 (2014),Stoesser;N.; Giess;A.; Batty;E.M.; Sheppard;A.E.; Walker;A.S.; Wilson;D.J.; Didelot;X.; Bashir;A.; Sebra;R.; Kasarskis;A.; Sthapit;B.; Shakya;M.; Kelly;D.; Pollard;A.J.; Peto;T.E.; Crook;D.W.; Donnelly;P.; Thorson;S.; Amatya;P. and Joshi;S.,Genome sequencing of an extended series of NDM-producing Klebsiella pneumoniae isolates from neonatal infections in a Nepali hospital characterizes the extent of community- versus hospital-associated transmission in an endemic setting
GCF_000828795.1_ASM82879v1_genomic.gbff,ASM82879v1,GCF_000828795.1,NZ_AP013357,SAMD00061019,PRJNA224116,None,None,NCGM 237,None,None,26-Sep-13,Acinetobacter baumannii NCGM 237,Acinetobacter baumannii,Method :: Minimus2,None,Coverage :: 50x,Technology :: PacBio RSII,4021920,1,4021920,Yes,Antimicrob. Agents Chemother. 58 (5); 2916-2920 (2014),Tada;T.; Miyoshi-Akiyama;T.; Shimada;K.; Shimojima;M. and Kirikae;T.,Dissemination of 16S rRNA methylase ArmA-producing acinetobacter baumannii and emergence of OXA-72 carbapenemase coproducers in Japan
GCF_000739495.1_ASM73949v1_genomic.gbff,ASM73949v1,GCF_000739495.1,NZ_CP009114,SAMN02777842,PRJNA224116,None,None,blaNDM-1,None,None,29-Jul-14,Klebsiella pneumoniae,Klebsiella pneumoniae,Method :: HGAP v. 2,None,Coverage :: 150x,Technology :: PacBio,5510332,3,5297511,Yes,Antimicrob. Agents Chemother. 58 (7); 4035-4041 (2014),van Duin;D.; Perez;F.; Rudin;S.D.; Cober;E.; Hanrahan;J.; Ziegler;J.; Webber;R.; Fox;J.; Mason;P.; Richter;S.S.; Cline;M.; Hall;G.S.; Kaye;K.S.; Jacobs;M.R.; Kalayjian;R.C.; Salata;R.A.; Segre;J.A.; Conlan;S.; Evans;S.; Fowler;V.G. Jr. and Bonomo;R.A.,Surveillance of carbapenem-resistant Klebsiella pneumoniae: tracking molecular epidemiology and outcomes through a regional network
GCF_000417085.2_ASM41708v2_genomic.gbff,ASM41708v2,GCF_000417085.2,NZ_CP011989,SAMN02142014,PRJNA224116,None,None,UHKPC33,None,None,30-Jun-15,Klebsiella pneumoniae UHKPC33,Klebsiella pneumoniae,Method :: HGAP v. 3,None,Coverage :: 3.93x,Technology :: PacBio RS,5663117,5,5329725,Yes,Antimicrob. Agents Chemother. 58 (8); 4961-4965 (2014),Wright;M.S.; Perez;F.; Brinkac;L.; Jacobs;M.R.; Kaye;K.; Cober;E.; van Duin;D.; Marshall;S.H.; Hujer;A.M.; Rudin;S.D.; Hujer;K.M.; Bonomo;R.A. and Adams;M.D.,Population structure of KPC-producing Klebsiella pneumoniae isolates from midwestern U.S. hospitals
GCF_000406765.2_ASM40676v2_genomic.gbff,ASM40676v2,GCF_000406765.2,NZ_CP011980,SAMN02141993,PRJNA224116,None,None,500_1420,None,None,30-Jun-15,Klebsiella pneumoniae 500_1420,Klebsiella pneumoniae,Method :: HGAP v. 3,None,Coverage :: 15.35x,Technology :: PacBio RS,5547643,5,5308211,Yes,Antimicrob. Agents Chemother. 58 (8); 4961-4965 (2014),Wright;M.S.; Perez;F.; Brinkac;L.; Jacobs;M.R.; Kaye;K.; Cober;E.; van Duin;D.; Marshall;S.H.; Hujer;A.M.; Rudin;S.D.; Hujer;K.M.; Bonomo;R.A. and Adams;M.D.,Population structure of KPC-producing Klebsiella pneumoniae isolates from midwestern U.S. hospitals
GCF_000417225.2_ASM41722v2_genomic.gbff,ASM41722v2,GCF_000417225.2,NZ_CP011976,SAMN02141981,PRJNA224116,None,None,DMC1097,None,None,30-Jun-15,Klebsiella pneumoniae DMC1097,Klebsiella pneumoniae,Method :: HGAP v. 3,None,Coverage :: 10.02x,Technology :: PacBio RS,5710688,4,5393855,Yes,Antimicrob. Agents Chemother. 58 (8); 4961-4965 (2014),Wright;M.S.; Perez;F.; Brinkac;L.; Jacobs;M.R.; Kaye;K.; Cober;E.; van Duin;D.; Marshall;S.H.; Hujer;A.M.; Rudin;S.D.; Hujer;K.M.; Bonomo;R.A. and Adams;M.D.,Population structure of KPC-producing Klebsiella pneumoniae isolates from midwestern U.S. hospitals
GCF_001274655.1_ASM127465v1_genomic.gbff,ASM127465v1,GCF_001274655.1,NZ_CP011305,SAMN03389647,PRJNA224116,blood,Homo sapiens,ISMMS2,USA: New York: NY,2013,22-Apr-15,Stenotrophomonas maltophilia,Stenotrophomonas maltophilia,Method :: HGAP v. 3,None,Coverage :: 160x,Technology :: PacBio,4509724,1,4509724,Yes,Antimicrob. Agents Chemother. 59 (11); 7117-7120 (2015),Pak;T.R.; Altman;D.R.; Attie;O.; Sebra;R.; Hamula;C.L.; Lewis;M.; Deikus;G.; Newman;L.C.; Fang;G.; Hand;J.; Patel;G.; Wallach;F.; Schadt;E.E.; Huprikar;S.; van Bakel;H.; Kasarskis;A. and Bashir;A.,Whole-genome sequencing identifies emergence of a quinolone resistance mutation in a case of Stenotrophomonas maltophilia bacteremia
GCF_001274675.1_ASM127467v1_genomic.gbff,ASM127467v1,GCF_001274675.1,NZ_CP011306,SAMN03389649,PRJNA224116,blood,Homo sapiens,ISMMS2R,USA: New York: NY,2013,22-Apr-15,Stenotrophomonas maltophilia,Stenotrophomonas maltophilia,Method :: HGAP v. 3,None,Coverage :: 403x,Technology :: PacBio,4509724,1,4509724,Yes,Antimicrob. Agents Chemother. 59 (11); 7117-7120 (2015),Pak;T.R.; Altman;D.R.; Attie;O.; Sebra;R.; Hamula;C.L.; Lewis;M.; Deikus;G.; Newman;L.C.; Fang;G.; Hand;J.; Patel;G.; Wallach;F.; Schadt;E.E.; Huprikar;S.; van Bakel;H.; Kasarskis;A. and Bashir;A.,Whole-genome sequencing identifies emergence of a quinolone resistance mutation in a case of Stenotrophomonas maltophilia bacteremia
GCF_001274595.1_ASM127459v1_genomic.gbff,ASM127459v1,GCF_001274595.1,NZ_CP011010,SAMN03389650,PRJNA224116,blood,Homo sapiens,ISMMS3,USA: New York: NY,2013,09-Mar-15,Stenotrophomonas maltophilia,Stenotrophomonas maltophilia,Method :: HGAP v. 3,None,Coverage :: 153x,Technology :: PacBio,4804002,1,4804002,Yes,Antimicrob. Agents Chemother. 59 (11); 7117-7120 (2015),Pak;T.R.; Altman;D.R.; Attie;O.; Sebra;R.; Hamula;C.L.; Lewis;M.; Deikus;G.; Newman;L.C.; Fang;G.; Hand;J.; Patel;G.; Wallach;F.; Schadt;E.E.; Huprikar;S.; van Bakel;H.; Kasarskis;A. and Bashir;A.,Whole-genome sequencing identifies emergence of a quinolone resistance mutation in a case of Stenotrophomonas maltophilia bacteremia
GCF_001298325.2_ASM129832v2_genomic.gbff,ASM129832v2,GCF_001298325.2,NZ_CP019945,SAMN04008874,PRJNA224116,milk,Bovine,BA01611,China: Shannxi,03/11/2014,23-Feb-17,Staphylococcus aureus,Staphylococcus aureus,Method :: SOAPdenovo v. 2.2.1,Representation :: Full,Coverage :: 120.0x,Technology :: Illumina HiSeq,2885865,1,2885865,Yes,Antimicrob. Agents Chemother. 59 (12); 7597-7601 (2015),Wu;Z.; Li;F.; Liu;D.; Xue;H. and Zhao;X.,Novel Type XII Staphylococcal Cassette Chromosome mec Harboring a New Cassette Chromosome Recombinase; CcrC2
